topics,trump_pos_new,trump_neg_new,trump_neu_new,biden_pos_new,biden_neg_new,biden_neu_new,trump_fav_score,biden_fav_score
abortion,0.3083795033542341,0.3722632126049384,0.3193572872367344,0.2161282853910116,0.4688014668045622,0.3150702482841984,0.8283910225679473,0.461023057082526
capitol,0.0700630855363081,0.7483927361206973,0.18154417742372433,0.1711412012822541,0.1675659927954573,0.6612928041368318,0.09361807264389142,1.0213361221280797
climate,0.24973798234442193,0.4043065634878161,0.34595545480532625,0.2591230725399742,0.440589385327591,0.30028753877567815,0.6176946032980933,0.5881282690169866
court,0.15978581397166325,0.3890561240222933,0.45115806235293493,0.14671239928260393,0.47386684857672023,0.3794207512401044,0.41070119220770157,0.30960680141111585
covid,0.19562609228077874,0.457030433975294,0.3473434738100437,0.18484486244981072,0.3751006336589883,0.44005450087843845,0.42803734223824974,0.49278739053759363
democrats,0.09293485023496773,0.5989432044667866,0.3081219441203117,0.21670965797044653,0.3487534124521105,0.43453692930209825,0.1551647126837404,0.6213836201536932
economy,0.2465111697287415,0.4242889251871594,0.3291999052416802,0.2547896868734462,0.41293643745021863,0.3322738774137146,0.5809983600679707,0.617019143301352
election,0.18590597730791364,0.44558928312682705,0.3685047391771069,0.22434826193391266,0.34446833268188015,0.4311834041941714,0.4172137534443342,0.6512884949023761
first_lady,0.28995597424209263,0.2894590393324771,0.42058498600101846,0.1257541310559544,0.6111783884051774,0.26306748228078636,1.001716771087065,0.20575683538827355
floyd,0.1554457900119461,0.5392054549958651,0.30534875761752106,0.1113339011018748,0.5358966890803819,0.35276940764696707,0.28828675335478227,0.20775254516486713
healthcare,0.4215406238887226,0.3418077566893771,0.236651619663462,0.20557792755202028,0.2963010753648212,0.49812099208625465,1.233268162114308,0.6938143147098003
hunter_biden,0.05527227213736793,0.42263718815433365,0.5220905369208586,0.06712759426833746,0.5561009094777967,0.3767714980660247,0.1307794810455351,0.12071117511994943
immigration,0.22678166123657542,0.4015734204894437,0.3716449217704409,0.2824221533050553,0.3284840285415864,0.38909381543700067,0.5647327478999246,0.8597743840361493
internatinal,0.19602892806282418,0.48964279144622014,0.31432827810573205,0.2159539041431429,0.37453297749662195,0.40951312274593754,0.40035089148117275,0.5765951654953819
other,0.15293677042028583,0.4966040111966938,0.35045921826860005,0.15536708875023722,0.449984607036114,0.3946483046885494,0.30796523381223956,0.3452720077995203
pres_debate,0.12585393817642246,0.3637935987742919,0.5103524613077752,0.1258504175407556,0.31947070027464153,0.5546788808122716,0.34594874291481387,0.39393414617542366
proud boys,0.09119259755184146,0.6587340859126072,0.25007332301679613,0.039882228192355845,0.4565067471315463,0.5036110267457035,0.13843612999850108,0.08736394027679824
republican,0.2323055864197144,0.3352054855100406,0.43248892690834784,0.18182807483657293,0.4669352147692838,0.3512367034873253,0.6930244177425791,0.38940750040969935
security,0.11651688594994887,0.5381057191517133,0.3453773961666058,0.17230106492172037,0.4147818678221295,0.41291706411847995,0.21653158813035797,0.41540163225169735
social_media,0.09065012432704461,0.6974136818895924,0.21193619381711068,0.15451535088731522,0.4398141060294227,0.4056705457369588,0.12998042149307223,0.3513196797671115
