publication,topic_ids,trump_pos_new,trump_neg_new,trump_neu_new,biden_pos_new,biden_neg_new,biden_neu_new
Breitbart News,19.18137454249695,0.16419862319535883,0.5193448505060965,0.3164565255072186,0.18475425798497014,0.40594726569905454,0.4092984759125954
Business Insider,20.563189673120966,0.1189574049054208,0.6180119503195277,0.2630306455209781,0.31283746478250124,0.28495505199208543,0.4022074842151366
CNN,23.522436391673093,0.1014634873990241,0.5381968530389859,0.36033965920517275,0.26035324348025113,0.19258045220103653,0.5470663043678858
Fox News,21.10868259877507,0.15961192386767512,0.48885177782443384,0.3515362988180962,0.17244693081167534,0.4118648043168979,0.4156882647779189
The Washington Post,20.315946985891408,0.12186951784100772,0.6088928866380151,0.2692375951065314,0.294985633217131,0.2519987682545268,0.453015597996602
USA Today,19.980787476280835,0.13945576518387234,0.4689983888368763,0.3915458459748622,0.27754005489772055,0.205849807559631,0.5166101372268976
